sigma changeprobability bayesfilter_meanerror
5 0.1 0.8447942974214102
2 0.1 0.5348389522690143
1 0.1 0.2691984949722169
0.5 0.1 0.09259057311392695
0.1 0.1 0.003349787754337556
5 0.05 0.7597587413443236
2 0.05 0.4219605990955877
1 0.05 0.19608946324575674
0.5 0.05 0.06419582280548297
0.1 0.05 0.0021381755160716797
5 0.01 0.4952249097867084
2 0.01 0.2033961798037791
1 0.01 0.07880066422968231
0.5 0.01 0.023009534107452236
0.1 0.01 0.0006722144558878336
5 0.005 0.37086593930954326
2 0.005 0.13589273127629714
1 0.005 0.05001345438324659
0.5 0.005 0.014057040334759763
0.1 0.005 0.0003983222235808844
5 0.001 0.1566680772384878
2 0.001 0.04480402771489955
1 0.001 0.014709773791860935
0.5 0.001 0.003945033414076402
0.1 0.001 0.00010357265541324661
5 1e-4 0.03147322432108323
2 1e-4 0.007180272311596968
1 1e-4 0.002143259554312082
0.5 1e-4 0.00055676869597331
0.1 1e-4 14629850767505451e-21
