sigma changeprobability gnassarJN_meanerror
5 0.1 0.003125782420895229
2 0.1 0.03347531611735566
1 0.1 0.02994896178671047
0.5 0.1 0.009728493148675396
0.1 0.1 0.00032774746833092805
5 0.05 0.011800496137789107
2 0.05 0.06532942538559683
1 0.05 0.05093733359810135
0.5 0.05 0.015343040428151003
0.1 0.05 0.00043728022837410995
5 0.01 0.08973614699318355
2 0.01 0.15359341544910643
1 0.01 0.09649031369663398
0.5 0.01 0.024829376816201034
0.1 0.01 0.0005108166620040182
5 0.005 0.13384325806758535
2 0.005 0.17841082054577395
1 0.005 0.10533088539749455
0.5 0.005 0.02619494852806508
0.1 0.005 0.0004999269753361821
5 0.001 0.20624300078311397
2 0.001 0.20109750949556338
1 0.001 0.11214873602282945
0.5 0.001 0.0266357181377183
0.1 0.001 0.00040452521668694257
5 1e-4 0.26392659402657753
2 1e-4 0.21694149533815787
1 1e-4 0.11898289412442976
0.5 1e-4 0.02675190529724129
0.1 1e-4 0.00032946940023855626
