sigma changeprobability gnassarJNOriginal_meanerror
5 0.1 0.5850757790430707
2 0.1 0.4819063938177123
1 0.1 0.22016980764407346
0.5 0.1 0.0875363800486673
0.1 0.1 0.001554399825290701
5 0.05 0.7895414847766955
2 0.05 0.4146163354693644
1 0.05 0.15374161643317988
0.5 0.05 0.058904593516002746
0.1 0.05 0.0011411749428386136
5 0.01 1.2952411634340741
2 0.01 0.29995447723944624
1 0.01 0.09030382436121452
0.5 0.01 0.025404182539675
0.1 0.01 0.000621411901763763
5 0.005 1.1340323403081776
2 0.005 0.27425299870472275
1 0.005 0.0832597683674752
0.5 0.005 0.020872813552619114
0.1 0.005 0.0005287412771180041
5 0.001 0.9207334871155355
2 0.001 0.21176137721624633
1 0.001 0.06305191980944506
0.5 0.001 0.016042422838654636
0.1 0.001 0.00040192499787457367
5 1e-4 0.7372835868129772
2 1e-4 0.1405709684085867
1 1e-4 0.03958632636835202
0.5 1e-4 0.010022183141549961
0.1 1e-4 0.00030875349446322556
