sigma changeprobability gnassarNatN_meanerror
5 0.1 0.00018574621297717808
2 0.1 0.004807013227458579
1 0.1 0.007140612442198824
0.5 0.1 0.0034053527223258523
0.1 0.1 0.0001390497966256587
5 0.05 0.0009074604462707692
2 0.05 0.010939034693257688
1 0.05 0.012344536129482414
0.5 0.05 0.00539305743497312
0.1 0.05 0.00018413999981121976
5 0.01 0.011477989691582202
2 0.01 0.03155741939394671
1 0.01 0.02304385386750804
0.5 0.01 0.007561279378134011
0.1 0.01 0.00019067011464807455
5 0.005 0.023156990905394192
2 0.005 0.03634982162029521
1 0.005 0.022399762470415245
0.5 0.005 0.007056390489849957
0.1 0.005 0.00016604823969488646
5 0.001 0.04098563018653589
2 0.001 0.03498288879940556
1 0.001 0.01663979056945889
0.5 0.001 0.004522451516434354
0.1 0.001 9147358500318645e-20
5 1e-4 0.03502156117141641
2 1e-4 0.018183130197019007
1 1e-4 0.00763957261545142
0.5 1e-4 0.0022529136057623887
0.1 1e-4 54929317643771965e-21
