sigma changeprobability gnassarNatNOriginal_meanerror
5 0.1 0.17696009152171266
2 0.1 0.1654320738784094
1 0.1 0.05995484908127391
0.5 0.1 0.028700968399902146
0.1 0.1 0.000690492168186254
5 0.05 0.2235375195852436
2 0.05 0.11082244122938512
1 0.05 0.04065157328395208
0.5 0.05 0.013726131056910992
0.1 0.05 0.0003535103230313109
5 0.01 0.13596884713387958
2 0.01 0.058323887219317194
1 0.01 0.027280814415396273
0.5 0.01 0.008445327736718185
0.1 0.01 0.00020031563598278592
5 0.005 0.10822384670397994
2 0.005 0.049909338498291794
1 0.005 0.02351528245164642
0.5 0.005 0.0072962608374799575
0.1 0.005 0.00017456671084216326
5 0.001 0.0649990201170548
2 0.001 0.03564289631737805
1 0.001 0.015086517757022818
0.5 0.001 0.0043809409540048715
0.1 0.001 9420420249466323e-20
5 1e-4 0.040225400221977466
2 1e-4 0.016364849126058935
1 1e-4 0.006040836538672895
0.5 1e-4 0.0015896386923231712
0.1 1e-4 3440247760714342e-20
