sigma changeprobability gsor1_meanerror
5 0.1 0.15960628090240792
2 0.1 0.4674408233488411
1 0.1 0.25908234563672666
0.5 0.1 0.05334630784078655
0.1 0.1 0.0008572226156569511
5 0.05 0.2446997917402305
2 0.05 0.5813354924866727
1 0.05 0.34062608691500107
0.5 0.05 0.05851930598057606
0.1 0.05 0.0008566091517299671
5 0.01 0.5470555234348705
2 0.01 0.8379228512048849
1 0.01 0.531175223581859
0.5 0.01 0.05845925166792751
0.1 0.01 0.0007120493191715953
5 0.005 0.6651506340282225
2 0.005 0.8994473911726926
1 0.005 0.5596951784929657
0.5 0.005 0.05581488299463617
0.1 0.005 0.0006398442611581986
5 0.001 0.8330740979820286
2 0.001 0.9450386574150972
1 0.001 0.637791984891148
0.5 0.001 0.0518091788849728
0.1 0.001 0.000492448289803446
5 1e-4 0.99746421453196
2 1e-4 1.0225242469441271
1 1e-4 0.7157029241592736
0.5 1e-4 0.04737486292870749
0.1 1e-4 0.0003666118314415091
