sigma changeprobability gsorOriginal20_meanerror
5 0.1 0.00025677736634877046
2 0.1 4722111014254793e-20
1 0.1 21023523695817836e-21
0.5 0.1 0.00014622501309996538
0.1 0.1 0.061230403951071835
5 0.05 0.0010888352606091
2 0.05 0.00047684299812567055
1 0.05 0.00013459350775077428
0.5 0.05 0.0002524648191712525
0.1 0.05 0.04380106744638356
5 0.01 0.0038177155032059207
2 0.01 0.002456649933440913
1 0.01 0.0007522437450074027
0.5 0.01 0.0003509450401981591
0.1 0.01 0.01907720585882257
5 0.005 0.0040445130342074975
2 0.005 0.0030783722883658826
1 0.005 0.000659893218165418
0.5 0.005 0.000268971000801985
0.1 0.005 0.011700851206091722
5 0.001 0.0040889510695028
2 0.001 0.0021904315159489776
1 0.001 0.00047382141888054584
0.5 0.001 0.00016020378275128071
0.1 0.001 0.0027956437357097848
5 1e-4 0.0019313915351393193
2 1e-4 0.000648934612487469
1 1e-4 0.00017463498490103823
0.5 1e-4 5369897414562834e-20
0.1 1e-4 0.00030653059569017997
