sigma changeprobability leaky_meanerror
5 0.1 0.192432022986869
2 0.1 0.12018947672562008
1 0.1 0.06461755760162763
0.5 0.1 0.04978852435392091
0.1 0.1 0.006259508585572025
5 0.05 0.1980693419207351
2 0.05 0.08445866382668155
1 0.05 0.05877226762149532
0.5 0.05 0.04937066759197346
0.1 0.05 0.007033194540133398
5 0.01 0.14297919204123
2 0.01 0.05948070490534907
1 0.01 0.05120119322616805
0.5 0.01 0.03843295376453179
0.1 0.01 0.006692168302349859
5 0.005 0.0997766823026795
2 0.005 0.05490617384586172
1 0.005 0.04501768750862787
0.5 0.005 0.03162735430127068
0.1 0.005 0.005858534940446458
5 0.001 0.05959443772641859
2 0.001 0.04238605821719808
1 0.001 0.028903422189951407
0.5 0.001 0.017460838830472843
0.1 0.001 0.00348918861060758
5 1e-4 0.10353400060465795
2 1e-4 0.022418096968025738
1 1e-4 0.012648378972594887
0.5 1e-4 0.006334199718411576
0.1 1e-4 0.0012894651712219637
