sigma changeprobability pf1_meanerror
5 0.1 0.0840735215547399
2 0.1 0.14937823645746906
1 0.1 0.12815789295042845
0.5 0.1 0.05105802068447306
0.1 0.1 0.0012153933379616877
5 0.05 0.11561305725391224
2 0.05 0.1763173553536751
1 0.05 0.1362197345997608
0.5 0.05 0.04877736629134766
0.1 0.05 0.0010480186243902287
5 0.01 0.18269779700205035
2 0.01 0.24053992062929774
1 0.01 0.1465764390054678
0.5 0.01 0.035892207721982844
0.1 0.01 0.0006633858122702985
5 0.005 0.23557008961375214
2 0.005 0.2707818054369989
1 0.005 0.1409451311900263
0.5 0.005 0.03180506231545186
0.1 0.005 0.0005187087801524117
5 0.001 0.3037938719469863
2 0.001 0.30966008666757394
1 0.001 0.13836035760454543
0.5 0.001 0.022731238944322076
0.1 0.001 0.00031821279763885927
5 1e-4 0.35995427562661986
2 1e-4 0.33576195623013766
1 1e-4 0.12310683866156708
0.5 1e-4 0.017766748469116307
0.1 1e-4 0.0001947609649179748
