sigma changeprobability smileOriginal_meanerror
5 0.1 0.15789928804910502
2 0.1 0.15365754688299404
1 0.1 0.05548373864944106
0.5 0.1 0.01852812653059921
0.1 0.1 0.0013347380193606609
5 0.05 0.22036755332400926
2 0.05 0.10790785860253005
1 0.05 0.04784985273306433
0.5 0.05 0.021407092728706598
0.1 0.05 0.0015465356328130124
5 0.01 0.1328082847216785
2 0.01 0.06745849490597089
1 0.01 0.04415112484244174
0.5 0.01 0.022902135785417287
0.1 0.01 0.0015113615444641154
5 0.005 0.1055834944237356
2 0.005 0.06092575639974679
1 0.005 0.039325033930141605
0.5 0.005 0.020440760109931955
0.1 0.005 0.0013676519200802213
5 0.001 0.09119200948910283
2 0.001 0.04541333429925773
1 0.001 0.026364208502383774
0.5 0.001 0.012696139955925369
0.1 0.001 0.0009502044883072905
5 1e-4 0.14448760592850324
2 1e-4 0.02724038280563455
1 1e-4 0.010858653901302235
0.5 1e-4 0.004868168874801311
0.1 1e-4 0.00044432934726304496
