sigma changeprobability smileextended_meanerror
5 0.1 0.0017357028141098407
2 0.1 0.012259115323759562
1 0.1 0.011472803490920502
0.5 0.1 0.0047956411295436985
0.1 0.1 0.0002052354929660844
5 0.05 0.004395766440642768
2 0.05 0.021266774936913535
1 0.05 0.018021669517936545
0.5 0.05 0.006911420594920101
0.1 0.05 0.00023577014778018972
5 0.01 0.024665473280703676
2 0.01 0.042352916396629275
1 0.01 0.027425370097220556
0.5 0.01 0.00837057407055804
0.1 0.01 0.0001986855840871843
5 0.005 0.03678635458590507
2 0.005 0.04417782723087635
1 0.005 0.02512632044910946
0.5 0.005 0.007555321509959788
0.1 0.005 0.0001661465860380585
5 0.001 0.04798585692885757
2 0.001 0.03795941179691728
1 0.001 0.01765549553181129
0.5 0.001 0.004613100418864525
0.1 0.001 8951167036873068e-20
5 1e-4 0.0370761220945743
2 1e-4 0.018802410690668993
1 1e-4 0.007190133115773196
0.5 1e-4 0.0017040483976525145
0.1 1e-4 3063264096379951e-20
