stochasticity changeprobability bayesfilter_meanerror
5 0.1 0.025934088526437728
2 0.1 0.05130880227124106
1 0.1 0.07657508552525441
0.25 0.1 0.11029144922204602
0.14 0.1 0.1039174640469933
0.1 0.1 0.09562135235065775
0.01 0.1 0.022597020739271022
5 0.05 0.023147319242839935
2 0.05 0.04274640476990142
1 0.05 0.06003261722897952
0.25 0.05 0.07843633845288196
0.14 0.05 0.07259581412476986
0.1 0.05 0.06596464722970681
0.01 0.05 0.014951408959402895
5 0.01 0.014404759430227032
2 0.01 0.021701451160576608
1 0.01 0.026571662834654317
0.25 0.01 0.028019568673937508
0.14 0.01 0.02494757113985062
0.1 0.01 0.022192204288492924
0.01 0.01 0.0049797607527352255
5 0.005 0.010522777718803956
2 0.005 0.014686699463321908
1 0.005 0.017074238302608465
0.25 0.005 0.0170301681290137
0.14 0.005 0.014726185731401642
0.1 0.005 0.012853364843650758
0.01 0.005 0.002831892069225325
5 0.001 0.0038899180701378296
2 0.001 0.0047093895442437
1 0.001 0.0050361189904215104
0.25 0.001 0.00452823702313192
0.14 0.001 0.0038295778989542967
0.1 0.001 0.0033658064844570546
0.01 0.001 0.0007139577965854609
5 1e-4 0.0006589535624015233
2 1e-4 0.0007218742198401122
1 1e-4 0.0007496517641485664
0.25 1e-4 0.0006051498274041887
0.14 1e-4 0.0005017668897728975
0.1 1e-4 0.00042127665996676076
0.01 1e-4 7247676273440919e-20
