stochasticity changeprobability leaky_meanerror
5 0.1 0.005834045867867149
2 0.1 0.013974500724557873
1 0.1 0.018330718676084254
0.25 0.1 0.02304188315633242
0.14 0.1 0.023327237813486765
0.1 0.1 0.022784326565678553
0.01 0.1 0.00948161021651403
5 0.05 0.006292292735932053
2 0.05 0.011244758929330897
1 0.05 0.014195126190175412
0.25 0.05 0.023324530144980482
0.14 0.05 0.025857380013379366
0.1 0.05 0.026257120877787796
0.01 0.05 0.012965910262281539
5 0.01 0.004931754632251787
2 0.01 0.007166892866106372
1 0.01 0.012714102608916967
0.25 0.01 0.023194643353222934
0.14 0.01 0.025587637081123688
0.1 0.01 0.025606523224356616
0.01 0.01 0.01337755095959357
5 0.005 0.0038497400468617445
2 0.005 0.00809991872954057
1 0.005 0.010767422731158958
0.25 0.005 0.020740559207242305
0.14 0.005 0.022206593093279145
0.1 0.005 0.0222755324782054
0.01 0.005 0.01118440633167856
5 0.001 0.00274068010019988
2 0.001 0.005497811093575354
1 0.001 0.007887381373113785
0.25 0.001 0.012655624628998666
0.14 0.001 0.013168483047441375
0.1 0.001 0.012869086200900262
0.01 0.001 0.006110750579173529
5 1e-4 0.003501018965881995
2 1e-4 0.0036212797826476054
1 1e-4 0.003900904073869642
0.25 1e-4 0.005124830782438182
0.14 1e-4 0.005041217398651499
0.1 1e-4 0.0047153315832684645
0.01 1e-4 0.002065800773902657
