stochasticity changeprobability pf10_meanerror
5 0.1 0.000395309130322867
2 0.1 0.0013484942841779299
1 0.1 0.002845294447374483
0.25 0.1 0.006945656036148676
0.14 0.1 0.007931527896597887
0.1 0.1 0.007787525609054963
0.01 0.1 0.002706974013917181
5 0.05 0.000565889507091185
2 0.05 0.0017254056162066822
1 0.05 0.0034950584877054755
0.25 0.05 0.00783527184795968
0.14 0.05 0.008630463266663418
0.1 0.05 0.008222935001501452
0.01 0.05 0.002502129373609661
5 0.01 0.0010690575661563423
2 0.01 0.0029515529378108182
1 0.01 0.005501127932281375
0.25 0.01 0.009770776924457391
0.14 0.01 0.009502305216660248
0.1 0.01 0.0090694778442263
0.01 0.01 0.0023175625578396135
5 0.005 0.0013038795342725715
2 0.005 0.0036378997327925957
1 0.005 0.0060983463804994385
0.25 0.005 0.009914693185028248
0.14 0.005 0.009609528751764284
0.1 0.005 0.008583921583988506
0.01 0.005 0.002695046788006487
5 0.001 0.0019033167872960482
2 0.001 0.0044261188252632915
1 0.001 0.006808371167001582
0.25 0.001 0.008657071587065458
0.14 0.001 0.008116192827842306
0.1 0.001 0.007824944751418227
0.01 0.001 0.002592444409017902
5 1e-4 0.001955271354018828
2 1e-4 0.004623604286595969
1 1e-4 0.006751283966308536
0.25 1e-4 0.009177127610046243
0.14 1e-4 0.007003135284637039
0.1 1e-4 0.006268536760401011
0.01 1e-4 0.0018045182745833413
