stochasticity changeprobability smileOriginal_meanerror
5 0.1 0.0008908392611566528
2 0.1 0.008715950807160595
1 0.1 0.029244699818232495
0.25 0.1 0.1494196216081341
0.14 0.1 0.2340146504189647
0.1 0.1 0.2851755113959772
0.01 0.1 0.5125347857609103
5 0.05 0.0027221264113825618
2 0.05 0.015937967359138744
1 0.05 0.044454672059220164
0.25 0.05 0.1816926364566115
0.14 0.05 0.2652951772943153
0.1 0.05 0.31396198131906156
0.01 0.05 0.5192077545040156
5 0.01 0.010221712432634053
2 0.01 0.0347482818433166
1 0.01 0.07655405978572007
0.25 0.01 0.23051945657809259
0.14 0.01 0.30994485745528494
0.1 0.01 0.3552190299182726
0.01 0.01 0.5253922070319568
5 0.005 0.013472141571662393
2 0.005 0.041352684887396414
1 0.005 0.08462876326374835
0.25 0.005 0.24429135623460763
0.14 0.005 0.3205327356290979
0.1 0.005 0.36355527793803377
0.01 0.005 0.5274289897597495
5 0.001 0.019564888726155284
2 0.001 0.05077219121266439
1 0.001 0.09738678136782938
0.25 0.001 0.2551199207553132
0.14 0.001 0.33306042111818024
0.1 0.001 0.3760180419716041
0.01 0.001 0.5307522831234702
5 1e-4 0.021617368409217803
2 1e-4 0.05330785396463532
1 1e-4 0.1024094491376966
0.25 1e-4 0.25710010309555836
0.14 1e-4 0.338804902690689
0.1 1e-4 0.3828850976699047
0.01 1e-4 0.5339772447636858
