stochasticity changeprobability smileextended_meanerror
5 0.1 9020578836026541e-20
2 0.1 0.0006479463706714622
1 0.1 0.002092316022465776
0.25 0.1 0.008702889981946946
0.14 0.1 0.010637819296168652
0.1 0.1 0.010461779257202847
0.01 0.1 0.0022005921695297526
5 0.05 0.0002518153131003051
2 0.05 0.001528993485187459
1 0.05 0.004196764166402585
0.25 0.05 0.014005747653068404
0.14 0.05 0.01604167813900116
0.1 0.05 0.015617959314568997
0.01 0.05 0.003317638439783945
5 0.01 0.0013402952503222421
2 0.01 0.004509098312593312
1 0.01 0.008960383408578649
0.25 0.01 0.01790686107055133
0.14 0.01 0.01860311596624624
0.1 0.01 0.017358533576496367
0.01 0.01 0.0038249197264808845
5 0.005 0.001850977411696885
2 0.005 0.005357231595107323
1 0.005 0.009205978960978762
0.25 0.005 0.016350791257217223
0.14 0.005 0.016243555649983005
0.1 0.005 0.015309456104248215
0.01 0.005 0.0030956589863197024
5 0.001 0.002360842341622843
2 0.001 0.004888971772030983
1 0.001 0.0072706944882370865
0.25 0.001 0.010224034004627059
0.14 0.001 0.009630244211309164
0.1 0.001 0.00876704497169935
0.01 0.001 0.0017875689076787265
5 1e-4 0.0013893501404766981
2 1e-4 0.002339132113012472
1 1e-4 0.003193548338797572
0.25 1e-4 0.003979191998979829
0.14 1e-4 0.003524292463465665
0.1 1e-4 0.003107421334952028
0.01 1e-4 0.0005529027802444126
