stochasticity changeprobability tsor20_meanerror
5 0.1 34000358259879404e-21
2 0.1 48615800474619e-18
1 0.1 3847551325934784e-20
0.25 0.1 17854578966469692e-21
0.14 0.1 4848534425019868e-21
0.1 0.1 7432931342560289e-21
0.01 0.1 33373470486840195e-22
5 0.05 0.00012580042474638273
2 0.05 0.0001399689160059489
1 0.05 8408259842745958e-20
0.25 0.05 23240745414196406e-21
0.14 0.05 18514821018250638e-21
0.1 0.05 15371918734768952e-21
0.01 0.05 10801681956454368e-22
5 0.01 0.0008573890891335548
2 0.01 0.0003746849049492025
1 0.01 0.00017339039254414546
0.25 0.01 2599505295777446e-20
0.14 0.01 17403567899070688e-21
0.1 0.01 21241737148874895e-21
0.01 0.01 8126399174747737e-21
5 0.005 0.0010534528518677515
2 0.005 0.00034064100842986535
1 0.005 0.00017620636537323334
0.25 0.005 20290872742804306e-21
0.14 0.005 15001584041333255e-21
0.1 0.005 14267336375191689e-21
0.01 0.005 11167916948405954e-21
5 0.001 0.012682117561796307
2 0.001 0.0013425652304745088
1 0.001 7230419930316125e-20
0.25 0.001 11638743000216487e-21
0.14 0.001 9855619227159152e-21
0.1 0.001 10883773515166575e-21
0.01 0.001 3679691965327624e-21
5 1e-4 0.0033637579522925384
2 1e-4 0.0004728131047914777
1 1e-4 10511085950010179e-21
0.25 1e-4 11191741778349379e-21
0.14 1e-4 3245241760497174e-21
0.1 1e-4 13189992605907122e-22
0.01 1e-4 11173363064012214e-22
