stochasticity changeprobability tsorOriginal10_meanerror
5 0.1 6856388921087572e-20
2 0.1 0.00013241750378748668
1 0.1 0.0001551980258023694
0.25 0.1 934560148977831e-19
0.14 0.1 7885875270811915e-20
0.1 0.1 7219320875356816e-20
0.01 0.1 1738548643408222e-20
5 0.05 0.00016315772118643754
2 0.05 0.0002861363285164842
1 0.05 0.0003186062519800331
0.25 0.05 0.0001615630725948919
0.14 0.05 0.00011274671659082525
0.1 0.05 819161368934701e-19
0.01 0.05 23521522795654295e-21
5 0.01 0.0002187460055884903
2 0.01 0.00031110368832763455
1 0.01 0.0003456231543314675
0.25 0.01 8046500888561625e-20
0.14 0.01 7276313417077171e-20
0.1 0.01 5684337381734253e-20
0.01 0.01 10296052860710517e-21
5 0.005 0.00018086289234651304
2 0.005 0.00026111741805060103
1 0.005 0.00022097981434681876
0.25 0.005 616422032519888e-19
0.14 0.005 2405188932702064e-20
0.1 0.005 17389308445001778e-21
0.01 0.005 11910906546113743e-21
5 0.001 8408450233932975e-20
2 0.001 7798057241246992e-20
1 0.001 6847895131025048e-20
0.25 0.001 1923875055702233e-20
0.14 0.001 12003946875647781e-21
0.1 0.001 11034816202135436e-21
0.01 0.001 7522023733285994e-21
5 1e-4 14555228329247083e-21
2 1e-4 1228615884293373e-20
1 1e-4 11228072172529517e-21
0.25 1e-4 374379205760598e-20
0.14 1e-4 2987463680106223e-21
0.1 1e-4 1499105840240835e-21
0.01 1e-4 34657855427509593e-22
