sigma changeprobability gnassarJN_meanerror gnassarJN_diff_std gnassarJN_diff_se
5 0.1 0.0031257824208951847 0.0011924706706302973 0.00037709233621401945
2 0.1 0.03347531611735571 0.0023908296936121036 0.0007560467329376766
1 0.1 0.029948961786710394 0.0014343417628252648 0.00045357869136288664
0.5 0.1 0.009728493148675387 0.00043810491234803597 0.000138540937712822
0.1 0.1 0.00032774746833092816 14516127552809037e-21 459040258724027e-20
5 0.05 0.011800496137789019 0.0029009259720122666 0.0009173533395096631
2 0.05 0.06532942538559687 0.004955170420426511 0.0015669624722841912
1 0.05 0.050937333598101306 0.0021351431029197777 0.0006751915335625807
0.5 0.05 0.015343040428151012 0.0003634526946046921 0.00011493383366764183
0.1 0.05 0.0004372802283741097 2059076311844862e-20 6511371021528907e-21
5 0.01 0.08973614699318347 0.016932554753717355 0.0053545439627258285
2 0.01 0.15359341544910649 0.014893966283964125 0.00470988568510808
1 0.01 0.096490313696634 0.006860681207009111 0.0021695378914461942
0.5 0.01 0.024829376816201027 0.0009010877099070239 0.00028494895348912667
0.1 0.01 0.0005108166620040181 30094386277223648e-21 9516680542094217e-21
5 0.005 0.13384325806758546 0.02185074747255696 0.006909813059044754
2 0.005 0.17841082054577398 0.016958638425835573 0.005362792344089288
1 0.005 0.10533088539749454 0.008464608813284612 0.0026767443352314303
0.5 0.005 0.026194948528065087 0.0012479804642344687 0.00039464607423752234
0.1 0.005 0.0004999269753361822 5048098788959406e-20 15963490026649378e-21
5 0.001 0.20624300078311403 0.024901991032835212 0.00787470099368481
2 0.001 0.20109750949556338 0.019554971676629847 0.006183825007823196
1 0.001 0.11214873602282946 0.009734448927238598 0.0030783030376656663
0.5 0.001 0.0266357181377183 0.001683701679801565 0.0005324332208424462
0.1 0.001 0.00040452521668694235 2232162766678775e-20 7058718450927932e-21
5 1e-4 0.26392659402657753 0.07265130221522365 0.022974358997734323
2 1e-4 0.21694149533815787 0.05729672450349239 0.018118815189821613
1 1e-4 0.11898289412442979 0.030352209539088626 0.009598211416220954
0.5 1e-4 0.02675190529724129 0.005748615007083333 0.0018178716813808313
0.1 1e-4 0.0003294694002385563 6230905184207211e-20 19703852266645804e-21
