sigma changeprobability gnassarNatN_meanerror gnassarNatN_diff_std gnassarNatN_diff_se
5 0.1 0.00018574621297735573 0.0001873699398833965 59251577508035695e-21
2 0.1 0.00480701322745859 0.0006048411862521571 0.0001912675771234938
1 0.1 0.007140612442198713 0.0002476411819005278 783110177261733e-19
0.5 0.1 0.0034053527223258453 0.00018043536399094137 5705867206529039e-20
0.1 0.1 0.00013904979662565875 9317437748684161e-21 2946432524267348e-21
5 0.05 0.0009074604462706471 0.0006118906213447139 0.00019349680423449376
2 0.05 0.01093903469325772 0.001228193271034678 0.00038838881433620896
1 0.05 0.012344536129482414 0.0007118768918329311 0.00022511523918333797
0.5 0.05 0.0053930574349731215 0.00017849905403603185 5644635709393319e-20
0.1 0.05 0.00018413999981122003 10441461796221272e-21 33018801377692126e-22
5 0.01 0.011477989691582157 0.003474101614573026 0.0010986073924919176
2 0.01 0.031557419393946746 0.002935233111481857 0.0009282022095825598
1 0.01 0.023043853867508048 0.0011806732729515014 0.0003733616715012416
0.5 0.01 0.0075612793781340126 0.00033673265454598454 0.00010648421509199632
0.1 0.01 0.00019067011464807455 14348025683538542e-21 4537244108657607e-21
5 0.005 0.023156990905394186 0.00406323545031338 0.0012849078692530205
2 0.005 0.03634982162029521 0.002695273657206537 0.0008523203674224557
1 0.005 0.02239976247041524 0.0014331435567148166 0.0004531997853213519
0.5 0.005 0.0070563904898499575 0.0003532479359431147 0.00011170680563335021
0.1 0.005 0.00016604823969488636 14589951405649893e-21 461374773930289e-20
5 0.001 0.040985630186535935 0.004356934457799877 0.001377783650271838
2 0.001 0.03498288879940555 0.0018067328696734842 0.0005713390991660366
1 0.001 0.01663979056945889 0.0005292464472443602 0.00016736242168443227
0.5 0.001 0.004522451516434354 0.00010701500756918533 3384111677387847e-20
0.1 0.001 9147358500318645e-20 417498242153832e-20 13202453643226314e-22
5 1e-4 0.03502156117141641 0.005525405752068881 0.0017472867173133283
2 1e-4 0.01818313019701901 0.00213318171668413 0.0006745712887749857
1 1e-4 0.007639572615451421 0.0006070486330266987 0.00019196563308560816
0.5 1e-4 0.0022529136057623882 7703073003213675e-20 2435925567270875e-20
0.1 1e-4 54929317643771965e-21 27596554577537603e-22 8726796803816458e-22
