sigma changeprobability gsor10_meanerror gsor10_diff_std gsor10_diff_se
5 0.1 0.008225313618486685 0.0013337824872055697 0.000421779056281399
2 0.1 0.004615087248457361 0.0006607251828956586 0.00020893964853816076
1 0.1 0.0008760958550347253 0.00020658793663582483 6532884168837494e-20
0.5 0.1 0.00010471472050511133 39347891224037496e-21 12442895739250919e-21
0.1 0.1 4482486538987581e-22 3453600440513883e-22 10921243520184725e-23
5 0.05 0.06131718048168091 0.014959881320232587 0.004730729849774175
2 0.05 0.008325808541525582 0.0010509428283294812 0.00033233730281404905
1 0.05 0.0013619536121340953 0.00017503953322219404 55352360555484504e-21
0.5 0.05 0.00018305614216316824 6040625264363543e-20 1910213432694554e-20
0.1 0.05 8956230174825014e-22 9126485975051827e-22 2886048271474642e-22
5 0.01 0.4176317852776134 0.10852026705662174 0.034317121618866145
2 0.01 0.023298751278147022 0.0026939492953614013 0.0008519015674347706
1 0.01 0.00234179007734108 0.000468072319266831 0.00014801746385607008
0.5 0.01 0.00022797345675984042 60286801491516797e-21 1906436055596293e-20
0.1 0.01 7081210459746021e-22 9661531813915692e-22 3055244621815167e-22
5 0.005 0.5041042673937147 0.14999503722394888 0.0474325955349418
2 0.005 0.027074283628064792 0.007483107412705096 0.0023663663399837724
1 0.005 0.0020957044686561064 0.00045979547800040416 0.00014540009683271194
0.5 0.005 0.00018284893749479173 7992708079674029e-20 25275162204600487e-21
0.1 0.005 8594807143906243e-22 11751508922910618e-22 3716153414018962e-22
5 0.001 0.5073333397401271 0.2969917275402474 0.09391703052553382
2 0.001 0.10178417867207108 0.23127323737569627 0.0731350191947983
1 0.001 0.0009826709032810042 0.0001259969561275614 39843735961140274e-21
0.5 0.001 0.0001002337430777662 13923920348619618e-21 44031302260403725e-22
0.1 0.001 6639659542075443e-22 37404702153798767e-23 11828405400620989e-23
5 1e-4 0.26930339260176456 0.28049847096028474 0.08870140484290973
2 1e-4 0.004208975143196412 0.004590472857415753 0.001451634976661514
1 1e-4 0.0002996640990490634 0.0003198666729285809 0.0001011507234034437
0.5 1e-4 26899409903559325e-21 12609305361546593e-21 3987412465506016e-21
0.1 1e-4 1460518541856219e-22 1753508967277812e-22 55450822341275505e-24
