sigma changeprobability gsorOriginal1_meanerror gsorOriginal1_diff_std gsorOriginal1_diff_se
5 0.1 0.08412057535999004 0.005572939099053637 0.001762318081441621
2 0.1 0.15254768653516723 0.003863120668730151 0.0012216260189260085
1 0.1 0.1295577413044712 0.0014890325492883034 0.0004708734365877973
0.5 0.1 0.05130503506434216 0.0013397825442204535 0.0004236764409071894
0.1 0.1 0.0012436251137784619 4353292480014605e-20 13766319557729186e-21
5 0.05 0.11768285891788106 0.010241093371556573 0.003238518078457182
2 0.05 0.1805086141756953 0.006849041458550115 0.002165857079794008
1 0.05 0.13812925306273155 0.002405895035206244 0.0007608108122542722
0.5 0.05 0.04813388092441204 0.001166339544809615 0.00036882894867224013
0.1 0.05 0.001047553496303667 5411189981938192e-20 1711168519481008e-20
5 0.01 0.1850362364549786 0.02072312798949463 0.006553228468998892
2 0.01 0.24296713794708835 0.018289806143610674 0.005783744537675041
1 0.01 0.14600302059265205 0.006506211943949146 0.0020574448682671065
0.5 0.01 0.036157379183983956 0.002311565022318686 0.0007309810430105002
0.1 0.01 0.0006665541749191049 8122678715265026e-20 2568616544200778e-20
5 0.005 0.23628396780761723 0.034294922354708955 0.010845006681950528
2 0.005 0.27649332743023036 0.02843913643877516 0.00899324458348192
1 0.005 0.136921301567326 0.00775724392121436 0.0024530559156533127
0.5 0.005 0.031459071223287206 0.0019340339023148972 0.0006115952203298672
0.1 0.005 0.0005384487742299702 55688401493141636e-21 17610218797224922e-21
5 0.001 0.3036049843315999 0.027989350612789676 0.008851009816544493
2 0.001 0.3152768022822173 0.030914290272012583 0.009775956950714603
1 0.001 0.1381867698923416 0.009000128016872609 0.0028460903766411787
0.5 0.001 0.023279879556919035 0.0010825395425048414 0.00034232906115119576
0.1 0.001 0.00032978995045671326 3518792369259195e-20 11127398500079315e-21
5 1e-4 0.357703988594254 0.08032848548464773 0.025402097512326142
2 1e-4 0.3208654200591168 0.06640787992436635 0.02100001551439679
1 1e-4 0.11053244865507428 0.01414944904424417 0.004474448661630416
0.5 1e-4 0.015118364590350703 0.002328685788851623 0.0007363951047637066
0.1 1e-4 0.00017140692608391664 5066954684741524e-20 16023117604643633e-21
