sigma changeprobability leaky_meanerror leaky_diff_std leaky_diff_se
5 0.1 0.192432022986869 0.007041142195027044 0.0022266046665402966
2 0.1 0.12018947672562019 0.003582074665156967 0.0011327514690681003
1 0.1 0.06461755760162755 0.0016033979021576284 0.0005070389366353913
0.5 0.1 0.049788524353920935 0.0006814638089285394 0.0002154977779187973
0.1 0.1 0.006259508585572025 4184925306692303e-20 13233895806826372e-21
5 0.05 0.19806934192073503 0.007253615667420796 0.002293794678053213
2 0.05 0.08445866382668163 0.003917231380168334 0.0012387373283216868
1 0.05 0.05877226762149531 0.002044453181952172 0.0006465128624547512
0.5 0.05 0.04937066759197346 0.001301517663330214 0.0004115760231063685
0.1 0.05 0.007033194540133398 33491484123564074e-21 10590937204983063e-21
5 0.01 0.14297919204123 0.01662486946498647 0.005257245331234214
2 0.01 0.05948070490534905 0.0033404204316027654 0.001056333690642744
1 0.01 0.05120119322616805 0.0021110290687868347 0.0006675660064190664
0.5 0.01 0.038432953764531805 0.0010160327526441654 0.00032129776756860287
0.1 0.01 0.0066921683023498605 5429479305427388e-20 17169521113899558e-21
5 0.005 0.09977668230267947 0.007997623341732941 0.002529070562800326
2 0.005 0.0549061738458617 0.0035511301561137226 0.0011229659561028673
1 0.005 0.045017687508627856 0.0024752376837141395 0.0007827388830816147
0.5 0.005 0.031627354301270685 0.0013437214785567539 0.00042492204131284463
0.1 0.005 0.005858534940446457 0.00013881428605568542 43896931570611695e-21
5 0.001 0.05959443772641863 0.0034207005089994607 0.0010817204801735598
2 0.001 0.042386058217198076 0.002558538929470604 0.0008090810499336012
1 0.001 0.02890342218995141 0.0014607666264657806 0.0004619349669592265
0.5 0.001 0.017460838830472846 0.0006721376420709261 0.00021254858500791398
0.1 0.001 0.0034891886106075804 0.00010799380806582886 3415064066830823e-20
5 1e-4 0.10353400060465794 0.0025030383203762294 0.0007915302163071132
2 1e-4 0.022418096968025738 0.0013544225761414688 0.00042830602549598725
1 1e-4 0.012648378972594887 0.0007874563114531386 0.0002490155502066854
0.5 1e-4 0.006334199718411577 0.0005358957243750378 0.00016946510773709333
0.1 1e-4 0.001289465171221964 9700201889538263e-20 3067473173440995e-20
