sigma changeprobability pf1_meanerror pf1_diff_std pf1_diff_se
5 0.1 0.08407352155474009 0.005250830749585754 0.0016604584776740215
2 0.1 0.1493782364574691 0.006016995184598397 0.0019027409453596224
1 0.1 0.1281578929504284 0.003108725534945522 0.0009830653310753219
0.5 0.1 0.05105802068447303 0.0011592313233754568 0.00036658113168776333
0.1 0.1 0.0012153933379616874 4129879826978624e-20 13059826716034555e-21
5 0.05 0.11561305725391229 0.007585969333670912 0.002398894135458993
2 0.05 0.1763173553536751 0.0062514115480485745 0.001976869908291263
1 0.05 0.13621973459976078 0.004597094359343895 0.0014537288794239267
0.5 0.05 0.04877736629134764 0.0011449610831298011 0.00036206848549435604
0.1 0.05 0.0010480186243902285 3500578550821305e-20 11069801348926811e-21
5 0.01 0.1826977970020503 0.01819388619889789 0.005753411987842059
2 0.01 0.24053992062929774 0.017287789810044356 0.0054668791509989816
1 0.01 0.1465764390054678 0.0070115213099626 0.002217237720228926
0.5 0.01 0.03589220772198284 0.0014262287320631853 0.0004510131257693684
0.1 0.01 0.0006633858122702984 4390705897272526e-20 13884631171314467e-21
5 0.005 0.2355700896137523 0.030831856760889793 0.00974988918564732
2 0.005 0.2707818054369989 0.02296637951971882 0.007262606889015541
1 0.005 0.1409451311900263 0.014299983205064013 0.004522051743015695
0.5 0.005 0.031805062315451854 0.0017486946980630937 0.000552985817813981
0.1 0.005 0.0005187087801524116 8930511399263656e-20 28240756691770512e-21
5 0.001 0.30379387194698637 0.0270259373633429 0.008546351796920917
2 0.001 0.30966008666757394 0.02504629364518976 0.007920333486420081
1 0.001 0.13836035760454546 0.008916840208413518 0.002819752459035722
0.5 0.001 0.022731238944322073 0.0011625083899339387 0.00036761743112464053
0.1 0.001 0.00031821279763885927 20492699015616823e-21 6480360429363961e-21
5 1e-4 0.35995427562661986 0.07601038903904088 0.02403659551988664
2 1e-4 0.3357619562301376 0.06798842047006695 0.021499826320262726
1 1e-4 0.12310683866156706 0.01958821900115822 0.00619433873498484
0.5 1e-4 0.017766748469116307 0.004919126838506656 0.0015555644908944303
0.1 1e-4 0.00019476096491797477 8742855613962043e-20 2764733699410987e-20
