sigma changeprobability smileOriginal_meanerror smileOriginal_diff_std smileOriginal_diff_se
5 0.1 0.1578992880491052 0.0072406214566221715 0.002289685547801212
2 0.1 0.15365754688299402 0.0031956419362349094 0.0010105507104852878
1 0.1 0.055483738649441026 0.0011415880649573637 0.000361001843492952
0.5 0.1 0.0185281265305992 0.0003883278254746982 0.00012280004073204033
0.1 0.1 0.0013347380193606615 30268600831203755e-21 9571772021306967e-21
5 0.05 0.22036755332400917 0.007429967032610424 0.002349561876301149
2 0.05 0.10790785860253001 0.00502657731196384 0.0015895433140732473
1 0.05 0.047849852733064316 0.0010220558710578682 0.000323202444849023
0.5 0.05 0.021407092728706594 0.00028891862888318895 913640925723787e-19
0.1 0.05 0.0015465356328130129 13681209118746574e-21 4326378196030421e-21
5 0.01 0.13280828472167847 0.015347180482133354 0.004853204598522248
2 0.01 0.06745849490597088 0.004272505303494548 0.001351084807419173
1 0.01 0.04415112484244175 0.001719120161762231 0.0005436335282685753
0.5 0.01 0.022902135785417287 0.0005396963305167139 0.00017066696492678543
0.1 0.01 0.001511361544464115 2125820910445687e-20 67224359746212e-19
5 0.005 0.10558349442373563 0.010096906286936384 0.0031929221187992586
2 0.005 0.060925756399746775 0.0034546563474383064 0.0010924582591063047
1 0.005 0.0393250339301416 0.0017415376509863376 0.000550722560805621
0.5 0.005 0.020440760109931955 0.0006293844649251677 0.00019902884330898866
0.1 0.005 0.0013676519200802215 35167244179390334e-21 11120859063817251e-21
5 0.001 0.09119200948910286 0.003647784037359285 0.0011535305970460084
2 0.001 0.045413334299257715 0.002292086135461889 0.0007248212781352805
1 0.001 0.02636420850238378 0.0009135483167190844 0.00028888934334451874
0.5 0.001 0.012696139955925367 0.0003471340649235832 0.00010977342985912869
0.1 0.001 0.0009502044883072906 10745008072237118e-21 3397869898516434e-21
5 1e-4 0.14448760592850324 0.0033005483034737964 0.001043725016638183
2 1e-4 0.027240382805634546 0.0009320395443322471 0.00029473678294353805
1 1e-4 0.010858653901302235 0.0008826502571841035 0.00027911851900351645
0.5 1e-4 0.004868168874801312 0.0003390409170940389 0.00010721415180094786
0.1 1e-4 0.00044432934726304496 2070413020371509e-20 6547220841642562e-21
