sigma changeprobability smileextended_meanerror smileextended_diff_std smileextended_diff_se
5 0.1 0.0017357028141099628 0.000986279733824972 0.00031188903689515244
2 0.1 0.012259115323759595 0.0014302102354679688 0.0004522721876964515
1 0.1 0.011472803490920452 0.0006852219459563866 0.0002166862051954986
0.5 0.1 0.004795641129543685 0.00024303195250589336 7685345141164891e-20
0.1 0.1 0.00020523549296608455 12050663734339747e-21 3810754471730384e-21
5 0.05 0.004395766440642668 0.0018879580421494624 0.0005970247540024476
2 0.05 0.02126677493691363 0.0023855949288493264 0.0007543913549711199
1 0.05 0.01802166951793652 0.0008387906938784876 0.0002652489072809075
0.5 0.05 0.006911420594920101 0.00023475641536523968 7423649678907063e-20
0.1 0.05 0.00023577014778019024 1436316211776259e-20 4542030669437738e-21
5 0.01 0.024665473280703603 0.007339224008143579 0.002320866412392387
2 0.01 0.042352916396629275 0.00423671419721524 0.0013397666658371962
1 0.01 0.027425370097220562 0.0012742200588578359 0.00040294376262645716
0.5 0.01 0.008370574070558044 0.00039858501187466517 0.0001260436478729202
0.1 0.01 0.00019868558408718426 199205568356963e-19 629943318596369e-20
5 0.005 0.036786354585905096 0.006934579557456925 0.002192906601720636
2 0.005 0.044177827230876356 0.002967654586997884 0.0009384547803559626
1 0.005 0.02512632044910944 0.0013036395671324839 0.000412247028005463
0.5 0.005 0.007555321509959792 0.0003405324179726527 0.00010768580579180406
0.1 0.005 0.00016614658603805854 15151111735437403e-21 4791202216768866e-21
5 0.001 0.047985856928857554 0.005628673059718989 0.0017799427073140956
2 0.001 0.037959411796917274 0.002214386024803209 0.000700250345722425
1 0.001 0.01765549553181129 0.00040531287901486064 0.0001281711862687223
0.5 0.001 0.004613100418864523 0.00011394280558706861 3603187886448959e-20
0.1 0.001 8951167036873062e-20 4622754266200075e-21 14618432544452565e-22
5 1e-4 0.03707612209457431 0.005345695329125137 0.0016904572917358872
2 1e-4 0.018802410690668993 0.0017248932574724894 0.0005454591414280317
1 1e-4 0.007190133115773195 0.0005517954098450533 0.0001744930297536467
0.5 1e-4 0.0017040483976525148 0.00019240943616464397 60845206158904744e-21
0.1 1e-4 306326409637995e-19 3781067700235047e-21 11956785920037518e-22
