stochasticity changeprobability leaky_meanerror leaky_diff_std leaky_diff_se
5 0.1 0.0058340458678671535 0.00015415455898021722 4874795180762497e-20
2 0.1 0.013974500724557873 0.0002609523503711019 8252037879469672e-20
1 0.1 0.01833071867608423 0.00030363129013802516 9601664457315804e-20
0.25 0.1 0.023041883156332387 0.00041977236513023096 0.00013274367726073732
0.14 0.1 0.023327237813486786 0.00040048802037242885 0.00012664543199887904
0.1 0.1 0.022784326565678546 0.0004774560231262395 0.0001509848515644944
0.01 0.1 0.009481610216514029 0.0005706338124605821 0.00018045025572808112
5 0.05 0.006292292735932054 0.0001658011553166638 52430928948799365e-21
2 0.05 0.011244758929330894 0.0003825372550576508 0.00012096890158509425
1 0.05 0.014195126190175397 0.00022405648306206955 7085288110030774e-20
0.25 0.05 0.023324530144980482 0.0005164468180620677 0.000163314823542272
0.14 0.05 0.025857380013379384 0.00046242625360587344 0.0001462320211253211
0.1 0.05 0.02625712087778781 0.0005450751941383872 0.00017236791095357642
0.01 0.05 0.012965910262281537 0.0009424306015485709 0.0002980227237536093
5 0.01 0.004931754632251784 0.0002556992076319123 8085918920171521e-20
2 0.01 0.0071668928661063735 0.000293281285463306 9274368571660777e-20
1 0.01 0.012714102608916963 0.0004914472010245295 0.0001554092504952148
0.25 0.01 0.02319464335322293 0.0008197776644554275 0.0002592364594612408
0.14 0.01 0.025587637081123688 0.0010862930897474346 0.00034351603701035966
0.1 0.01 0.02560652322435661 0.0011165092237779162 0.0003530712175724842
0.01 0.01 0.013377550959593568 0.0011855638454080913 0.00037490820630373253
5 0.005 0.0038497400468617436 0.0002825426876071785 8934784290641137e-20
2 0.005 0.008099918729540573 0.00032567025802529836 0.00010298597815346727
1 0.005 0.010767422731158965 0.0006777471698124195 0.0002143224734340159
0.25 0.005 0.020740559207242305 0.0008032762573215879 0.0002540182563471724
0.14 0.005 0.022206593093279152 0.0006686737400647945 0.00021145320301481374
0.1 0.005 0.022275532478205403 0.000774623315263713 0.00024495740049040074
0.01 0.005 0.011184406331678559 0.0010331078155425392 0.0003266973765635526
5 0.001 0.0027406801001998798 6412492594150341e-20 202780820764768e-19
2 0.001 0.005497811093575353 0.00019696429286874417 6228557831896917e-20
1 0.001 0.007887381373113787 4641336674252128e-20 14677195278307705e-21
0.25 0.001 0.012655624628998668 0.00018368753623249364 58087099227938435e-21
0.14 0.001 0.013168483047441375 0.00024392301459372342 7713522998506571e-20
0.1 0.001 0.012869086200900262 0.00028412494531456124 8984819672647994e-20
0.01 0.001 0.006110750579173529 0.0004000243578282746 0.00012649880902835547
5 1e-4 0.0035010189658819953 4946970368581442e-20 15643693882080028e-21
2 1e-4 0.003621279782647606 6234990408691022e-20 1971677088076773e-20
1 1e-4 0.003900904073869642 7320451384091522e-20 23149299874261312e-21
0.25 1e-4 0.005124830782438182 0.0003293209579349783 0.00010414043083030323
0.14 1e-4 0.005041217398651499 0.00018561015655709574 58695085158085925e-21
0.1 1e-4 0.004715331583268465 0.00021815910054186416 6898796500059643e-20
0.01 1e-4 0.002065800773902657 0.00043801218199093127 0.00013851161379915285
