stochasticity changeprobability pf10_meanerror pf10_diff_std pf10_diff_se
5 0.1 0.000395309130322867 28712637325444486e-21 9079733157876986e-21
2 0.1 0.0013484942841779264 58483183588980365e-21 18494006495895858e-21
1 0.1 0.0028452944473744647 0.00013887930485313846 4391749231967937e-20
0.25 0.1 0.006945656036148653 0.0003240678885721611 0.00010247926444096806
0.14 0.1 0.007931527896597896 0.00030693749789470823 9706215926604148e-20
0.1 0.1 0.0077875256090549645 0.00028817115395394973 9112772024535179e-20
0.01 0.1 0.0027069740139171812 0.0002081886323250843 6583502611026225e-20
5 0.05 0.0005658895070911878 586325812771885e-19 18541250193085997e-21
2 0.05 0.0017254056162066774 7730046686910924e-20 2444455395007701e-20
1 0.05 0.003495058487705473 0.00023395595801156734 7398336994832707e-20
0.25 0.05 0.007835271847959695 0.0003520008027281802 0.00011131242748286609
0.14 0.05 0.008630463266663443 0.00040205198832566046 0.0001271400020908514
0.1 0.05 0.008222935001501477 0.00024310999662263528 7687813112833697e-20
0.01 0.05 0.0025021293736096585 0.0002104863331200423 6656162289962694e-20
5 0.01 0.0010690575661563425 8186956176948232e-20 25889428623140912e-21
2 0.01 0.002951552937810819 0.00025745678833289564 8141498502038148e-20
1 0.01 0.005501127932281372 0.0003095440245730497 9788641537459667e-20
0.25 0.01 0.009770776924457391 0.0007478879956298759 0.00023650295008884628
0.14 0.01 0.009502305216660251 0.0008788710324173299 0.00027792342319824415
0.1 0.01 0.009069477844226303 0.0008786425764857074 0.0002778511790893539
0.01 0.01 0.0023175625578396126 0.0005301969279703991 0.00016766299008106963
5 0.005 0.001303879534272572 0.00013049765954424355 4126698334810202e-20
2 0.005 0.003637899732792593 0.0003107074837205715 9825433346166935e-20
1 0.005 0.006098346380499438 0.0006119747616461317 0.0001935234117340431
0.25 0.005 0.009914693185028245 0.0007859541569533285 0.00024854052724499826
0.14 0.005 0.009609528751764284 0.0009669039076228681 0.0003057618626605306
0.1 0.005 0.008583921583988503 0.0016251882691498982 0.0005139296557100438
0.01 0.005 0.002695046788006487 0.0008640070581305905 0.00027322302181541683
5 0.001 0.0019033167872960486 5658570646837721e-20 1789397154497946e-20
2 0.001 0.004426118825263292 0.0002294368251215564 725542946501857e-19
1 0.001 0.006808371167001582 0.00021432853525902502 6777663389862255e-20
0.25 0.001 0.008657071587065458 0.0004572647647155449 0.00014459981502421178
0.14 0.001 0.008116192827842306 0.0005367699272637347 0.00016974155496363142
0.1 0.001 0.00782494475141823 0.0009547747900159539 0.00030192629889594065
0.01 0.001 0.002592444409017903 0.0002924421930259534 9247834138966215e-20
5 1e-4 0.0019552713540188283 0.000370672355462712 0.00011721689089217267
2 1e-4 0.004623604286595967 0.0008466860091685199 0.000267745625197073
1 1e-4 0.006751283966308535 0.0010082273434888684 0.00031882948046857597
0.25 1e-4 0.009177127610046243 0.0021999993251597353 0.0006957008718338141
0.14 1e-4 0.007003135284637039 0.0019840409179585966 0.0006274088271720434
0.1 1e-4 0.006268536760401011 0.0011946025130680233 0.0003777664839856014
0.01 1e-4 0.0018045182745833408 0.0010095171866493515 0.00031923736468972763
