stochasticity changeprobability smileOriginal_meanerror smileOriginal_diff_std smileOriginal_diff_se
5 0.1 0.0008908392611566569 5597168746239843e-20 1769980168642691e-20
2 0.1 0.008715950807160604 0.00028957997091005736 9157322728410835e-20
1 0.1 0.029244699818232474 0.0009759156277033296 0.000308611618769544
0.25 0.1 0.1494196216081341 0.0018510694235178789 0.0005853595485411349
0.14 0.1 0.23401465041896463 0.0016973666706667206 0.0005367544703763749
0.1 0.1 0.2851755113959772 0.001945355207132043 0.000615175331260589
0.01 0.1 0.5125347857609104 0.0010536524334928492 0.0003331941552016486
5 0.05 0.0027221264113825657 0.0001105208678364102 3494976713415019e-20
2 0.05 0.015937967359138744 0.0007243330500410946 0.00022905422226665782
1 0.05 0.04445467205922014 0.0012092766476609574 0.0003824068527861554
0.25 0.05 0.18169263645661146 0.003367291958993401 0.001064831213718945
0.14 0.05 0.26529517729431523 0.0033526681013663294 0.0010602067438909878
0.1 0.05 0.3139619813190615 0.0027871132118324734 0.0008813625846137969
0.01 0.05 0.5192077545040157 0.0021266881152048243 0.0006725178316857812
5 0.01 0.010221712432634054 0.0005661440535256284 0.00017903046929012656
2 0.01 0.0347482818433166 0.0017768241820480088 0.0005618811416937371
1 0.01 0.07655405978572008 0.003508935570756367 0.001109622856637304
0.25 0.01 0.23051945657809259 0.006063811371343467 0.001917545523507443
0.14 0.01 0.3099448574552849 0.008566411411802902 0.002708937143535578
0.1 0.01 0.3552190299182726 0.008264867081229801 0.0026135804535234036
0.01 0.01 0.5253922070319568 0.0035534809032338665 0.001123709327613141
5 0.005 0.013472141571662391 0.0006942781967920795 0.00021955004316575786
2 0.005 0.04135268488739639 0.001781114742109942 0.0005632379359170834
1 0.005 0.08462876326374835 0.004779312449081185 0.0015113512988694058
0.25 0.005 0.24429135623460763 0.006717943132901552 0.002124400149145615
0.14 0.005 0.32053273562909795 0.008680767417379607 0.0027450996877097086
0.1 0.005 0.3635552779380337 0.009115965904050605 0.002882721532923587
0.01 0.005 0.5274289897597494 0.004100097425203402 0.0012965646492234608
5 0.001 0.019564888726155284 0.0006632911328973272 0.00020975107317489935
2 0.001 0.05077219121266439 0.0016695307046334334 0.0005279519650227479
1 0.001 0.09738678136782938 0.0026969910443121426 0.0008528634529102475
0.25 0.001 0.2551199207553132 0.006437009707521907 0.002035561199638352
0.14 0.001 0.33306042111818024 0.00682488740012025 0.002158218895856492
0.1 0.001 0.3760180419716041 0.007122159479025688 0.0022522245812679398
0.01 0.001 0.5307522831234701 0.0025558618034919292 0.0008082344683660192
5 1e-4 0.021617368409217803 0.00181823855760321 0.0005749775171565407
2 1e-4 0.05330785396463532 0.0065072849370080765 0.002057784178465084
1 1e-4 0.1024094491376966 0.0060721992462259835 0.00192019800244317
0.25 1e-4 0.2571001030955583 0.01612602891040143 0.005099498097059186
0.14 1e-4 0.33880490269068897 0.01980895407044194 0.006264141292826003
0.1 1e-4 0.3828850976699047 0.018537908962635897 0.005862201537877866
0.01 1e-4 0.5339772447636857 0.009668208776987926 0.0030573560629312767
