stochasticity changeprobability smileextended_meanerror smileextended_diff_std smileextended_diff_se
5 0.1 902057883602675e-19 11833194152880237e-21 3741984551808826e-21
2 0.1 0.0006479463706714581 9091283748838233e-20 28749163501202976e-21
1 0.1 0.0020923160224657748 0.00016403235103139847 5187158392114889e-20
0.25 0.1 0.008702889981946927 0.000357901261174875 0.00011317831627593957
0.14 0.1 0.010637819296168659 0.0003046268778513166 96331477051606e-18
0.1 0.1 0.01046177925720284 0.00033495296657370656 0.0001059214283403158
0.01 0.1 0.0022005921695297482 0.00018032092624007122 5702248367098473e-20
5 0.05 0.00025181531310030996 29545851225565318e-21 9343218528126374e-21
2 0.05 0.0015289934851874603 0.00012509109045418757 3955727608293793e-20
1 0.05 0.004196764166402589 0.00022781200701684555 7204048205074927e-20
0.25 0.05 0.014005747653068413 0.00043015681978147513 0.00013602753015640344
0.14 0.05 0.016041678139001158 0.00027672188748394295 8750714428701006e-20
0.1 0.05 0.01561795931456901 0.0005087565547700168 0.00016088294876134544
0.01 0.05 0.0033176384397839405 0.0003590348090510782 0.00011353677558850444
5 0.01 0.001340295250322239 0.00011051496288832428 3494789982560854e-20
2 0.01 0.00450909831259331 0.0003810124402626683 0.0001204867128088875
1 0.01 0.008960383408578649 0.0004020973052636115 0.00012715433256490238
0.25 0.01 0.017906861070551318 0.0005544782138606445 0.00017534140687415812
0.14 0.01 0.01860311596624624 0.0009010310960267872 0.00028493105060825385
0.1 0.01 0.01735853357649637 0.0008620080369793094 0.0002725908758225268
0.01 0.01 0.003824919726480883 0.0005280649127302779 0.00016698878766457226
5 0.005 0.0018509774116968862 0.00020242410209881298 6401212159467194e-20
2 0.005 0.005357231595107323 0.00039410218930792493 0.00012462605490719004
1 0.005 0.009205978960978765 0.000717792750932219 0.00022698599809037619
0.25 0.005 0.016350791257217223 0.0006092110272490726 0.0001926494421797972
0.14 0.005 0.016243555649982998 0.0004930546437330018 0.00015591756851191508
0.1 0.005 0.015309456104248217 0.0008549937972418861 0.0002703727784600549
0.01 0.005 0.0030956589863197033 0.00036288697597928224 0.00011475493773053434
5 0.001 0.002360842341622844 8383055585858797e-20 26509549403111018e-21
2 0.001 0.004888971772030982 0.0001553583198617889 49128614422022844e-21
1 0.001 0.007270694488237089 4997831026800582e-20 1580452940534787e-20
0.25 0.001 0.010224034004627059 0.00016260534816481116 51420325992548364e-21
0.14 0.001 0.009630244211309166 0.00022408521056615962 7086196553474937e-20
0.1 0.001 0.008767044971699351 0.00025005793937503136 7907526354334006e-20
0.01 0.001 0.0017875689076787265 0.00013065139614579747 41315599130166445e-21
5 1e-4 0.001389350140476698 0.00012477529470196271 3945741269769426e-20
2 1e-4 0.0023391321130124725 0.00018843672581791648 59588924840927134e-21
1 1e-4 0.003193548338797572 0.0001081113395033839 3418780737224301e-20
0.25 1e-4 0.003979191998979829 0.00020790967532631106 6574681216172544e-20
0.14 1e-4 0.0035242924634656648 0.00019748931178074602 6245160387662811e-20
0.1 1e-4 0.0031074213349520283 0.00019567941266327698 6187926352199502e-20
0.01 1e-4 0.0005529027802444126 0.00011594519265104388 366650892524315e-19
