stochasticity changeprobability tsor20_meanerror tsor20_diff_std tsor20_diff_se
5 0.1 34000358259884954e-21 12892879053859251e-21 4077086340727194e-21
2 0.1 4861580047461969e-20 1541690674352156e-20 4875253978393747e-21
1 0.1 3847551325932424e-20 1374037180278794e-20 4345087079436382e-21
0.25 0.1 1785457896645304e-20 11682225302846159e-21 36942440096244187e-22
0.14 0.1 4848534425017092e-21 9196556206576078e-21 29082064242538384e-22
0.1 0.1 7432931342554738e-21 7839688788370382e-21 24791272718136167e-22
0.01 0.1 33373470486826317e-22 6014398648449324e-21 1901919848533819e-21
5 0.05 0.00012580042474638828 1934622605456447e-20 61178138460916665e-22
2 0.05 0.00013996891600594614 30252193318525783e-21 9566583510226919e-21
1 0.05 8408259842745958e-20 347694297827108e-19 10995059105865947e-21
0.25 0.05 23240745414195017e-21 13182341047660624e-21 4168622260373782e-21
0.14 0.05 18514821018252027e-21 9897857164265285e-21 31299772594093654e-22
0.1 0.05 15371918734791158e-21 6594387224923335e-21 20853283403874812e-22
0.01 0.05 10801681956438755e-22 7107223365255129e-21 22475013673773024e-22
5 0.01 0.0008573890891335548 0.00010548611347440041 3335763800980831e-20
2 0.01 0.0003746849049492018 7868329812298415e-20 24881843588268133e-21
1 0.01 0.00017339039254414892 4113028792631851e-20 13006539066569024e-21
0.25 0.01 25995052957769257e-21 19926095006174076e-21 6301184509241698e-21
0.14 0.01 17403567899072422e-21 13665145222824497e-21 43212983461094555e-22
0.1 0.01 2124173714887802e-20 26978658346470348e-21 8531400859035837e-21
0.01 0.01 8126399174747476e-21 8944606982566258e-21 28285330839955372e-22
5 0.005 0.0010534528518677498 0.0002800921969402807 8857292971717318e-20
2 0.005 0.0003406410084298645 0.0001145095590064318 3621110203217721e-20
1 0.005 0.00017620636537323472 59227790958719054e-21 18729472020987997e-21
0.25 0.005 20290872742800836e-21 2088487248465019e-20 6604376569367456e-21
0.14 0.005 15001584041331347e-21 17952424600830925e-21 5677055126106487e-21
0.1 0.005 14267336375193076e-21 2442930473355286e-20 7725224461235985e-21
0.01 0.005 11167916948405607e-21 12456234280514782e-21 3939007139509544e-21
5 0.001 0.012682117561796305 0.009885740965221967 0.0031261457808532817
2 0.001 0.0013425652304745086 0.003541252172909249 0.0011198422635413647
1 0.001 7230419930316125e-20 19011480221993682e-21 601195791927436e-20
0.25 0.001 11638743000216747e-21 34726473191748206e-22 10981475039070147e-22
0.14 0.001 9855619227159413e-21 4124032204055042e-21 13041334908698222e-22
0.1 0.001 10883773515166792e-21 5948718403036711e-21 18811499312555507e-22
0.01 0.001 36796919653275913e-22 2491087628720853e-21 7877510757825775e-22
5 1e-4 0.0033637579522925384 0.007506461810998263 0.002373751649182688
2 1e-4 0.0004728131047914778 0.0013952770615707417 0.0004412253481550536
1 1e-4 1051108595001031e-20 57003884612690076e-22 18026211085352584e-22
0.25 1e-4 11191741778349487e-21 24469495961916405e-21 7737934043594862e-21
0.14 1e-4 32452417604969955e-22 6945629259660817e-21 21964008243637243e-22
0.1 1e-4 13189992605907664e-22 11587611760321856e-22 3664324580437019e-22
0.01 1e-4 111733630640122e-20 14196091818301506e-22 44891984018713957e-23
