stochasticity changeprobability tsorOriginal20_meanerror tsorOriginal20_diff_std tsorOriginal20_diff_se
5 0.1 3118670583253727e-21 35217783960389503e-22 111368411458576e-20
2 0.1 6828988494181343e-21 5709132238464869e-21 18053861336644547e-22
1 0.1 7430774481320679e-21 4873355154061688e-21 15410902133755705e-22
0.25 0.1 4790118344147332e-21 5127046519612187e-21 16213144671613658e-22
0.14 0.1 2671879786241005e-21 5184223028333309e-21 16393952667828883e-22
0.1 0.1 35457370893776653e-22 6468349156910494e-21 20454716037067026e-22
0.01 0.1 2749418765094977e-21 5011893122454232e-21 1584899765628856e-21
5 0.05 2158404910446929e-20 4925904603240626e-21 15577078082948417e-22
2 0.05 32175257798956054e-21 12330048291861465e-21 3899103626215079e-21
1 0.05 3578677226177413e-20 9292272356658223e-21 29384745285660474e-22
0.25 0.05 11637818652507348e-21 8732828786916065e-21 2761562938294e-18
0.14 0.05 9409937779028544e-21 7816892829782734e-21 24719185567552328e-22
0.1 0.05 7640946693855678e-21 13150286239968827e-21 41584856401473055e-22
0.01 0.05 75312561653847684e-22 1177516084736675e-20 37236328092517235e-22
5 0.01 7953596695028706e-20 31750694558124135e-21 10040451209598568e-21
2 0.01 8160019444059183e-20 27748840746038102e-21 8774953918676635e-21
1 0.01 5559394214593449e-20 2751401665966042e-20 8700696022434476e-21
0.25 0.01 18108759600614366e-21 1630883706020487e-20 51573071098812e-19
0.14 0.01 13859372306032972e-21 16664072377857063e-21 5269642380792635e-21
0.1 0.01 12864855020144894e-21 18889801885503238e-21 5973479850753342e-21
0.01 0.01 4419517210343514e-21 1070475833647475e-20 3385141814493532e-21
5 0.005 7643783635928863e-20 27735935516067663e-21 8770872926633149e-21
2 0.005 7699330221253367e-20 1743198410583292e-20 55124773910285696e-22
1 0.005 56566026296773346e-21 23728581668154425e-21 7503636371668567e-21
0.25 0.005 9761662680967536e-21 9385290544418318e-21 29678894622803574e-22
0.14 0.005 11065134585300923e-21 15197541400321976e-21 4805884565972225e-21
0.1 0.005 7425148139795362e-21 8298956206736974e-21 26243603815280047e-22
0.01 0.005 13313897885132474e-21 12835530995669936e-21 4058951292400583e-21
5 0.001 30799716608970014e-21 66513828857106785e-22 21033519508709168e-22
2 0.001 2430718507565495e-20 7093603960700214e-21 2243194533500422e-21
1 0.001 16524408453864535e-21 65198570738132385e-22 20617598372010384e-22
0.25 0.001 2201559501499063e-21 2067747827602537e-21 6538792762089199e-22
0.14 0.001 3881945244804457e-21 32266419396777186e-22 10203537723205217e-22
0.1 0.001 7906291211672196e-21 3954981496258636e-21 12506749631997993e-22
0.01 0.001 20433697346329006e-21 5672703915086566e-21 1793866486342795e-21
5 1e-4 26686851043912366e-22 20626520952680158e-22 6522678641565545e-22
2 1e-4 36535716960775987e-22 3039372310386196e-21 961133915806862e-21
1 1e-4 28105144458637926e-22 32272511463368794e-22 10205464203813906e-22
0.25 1e-4 1292762715996267e-21 13181795451636425e-22 4168449727761902e-22
0.14 1e-4 6070501009087885e-21 11424333066061931e-21 3612691323713057e-21
0.1 1e-4 6819580854058882e-21 11436302772060951e-21 36164764771010054e-22
0.01 1e-4 4949152685095346e-21 4873251066845325e-21 15410572981076692e-22
