x states switches
1 3 0
2 3 0
3 5 0
4 5 0
5 3 0
6 5 0
7 2 1
8 2 0
9 2 0
10 2 0
11 2 0
12 2 0
13 4 0
14 2 0
15 2 0
16 2 0
17 2 0
18 4 1
19 4 0
20 4 0
21 4 0
22 4 0
23 4 0
24 4 0
25 4 0
26 1 0
27 4 0
28 4 0
29 4 0
30 4 0
31 4 0
32 4 0
33 4 0
34 4 0
35 4 0
36 4 0
37 4 0
38 4 0
39 4 0
40 4 0
41 4 0
42 4 0
43 4 0
44 4 0
45 4 0
46 4 0
47 4 0
48 2 1
49 2 0
50 2 0
51 2 0
52 3 1
53 3 0
54 3 0
55 3 0
56 3 0
57 3 0
58 5 1
59 5 0
60 5 0
61 5 0
62 5 0
63 5 0
64 5 1
65 5 0
66 3 1
67 3 0
68 3 0
69 3 0
70 3 0
71 3 0
72 2 1
73 4 0
74 4 0
75 1 1
76 1 0
77 1 0
78 1 0
79 1 0
80 1 0
81 5 0
82 1 0
83 1 0
84 1 0
85 1 0
86 1 0
87 4 0
88 4 0
89 1 0
90 4 0
91 4 0
92 1 0
93 1 0
94 1 0
95 1 0
96 5 0
97 1 0
98 4 0
99 1 0
100 5 0
101 4 1
102 4 0
103 1 1
104 4 1
105 5 1
106 5 0
107 3 1
108 3 0
109 3 0
110 3 0
111 3 0
112 3 0
113 4 0
114 3 0
115 3 0
116 3 0
117 5 1
118 4 0
119 2 0
120 4 0
121 2 0
122 2 0
123 2 0
124 5 0
125 2 1
126 2 0
127 2 0
128 2 0
129 2 0
130 2 0
131 4 1
132 3 0
133 4 0
134 4 0
135 4 0
136 3 0
137 3 0
138 1 1
139 1 0
140 1 0
141 1 0
142 1 0
143 1 0
144 1 0
145 1 0
146 1 0
147 1 0
148 1 0
149 1 0
150 1 0
151 1 0
152 1 0
153 1 0
154 1 0
155 1 0
156 1 0
157 1 0
158 1 0
159 1 0
160 1 0
161 1 0
162 1 0
163 2 1
164 2 0
165 1 1
166 1 0
167 1 0
168 5 0
169 5 0
170 3 1
171 3 0
172 3 0
173 3 0
174 3 0
175 2 0
176 2 0
177 3 0
178 3 0
179 3 0
180 2 0
181 3 0
182 2 0
183 3 0
184 5 1
185 5 0
186 3 0
187 3 0
188 5 0
189 5 0
190 5 0
191 5 0
192 5 0
193 3 0
194 3 0
195 5 0
196 3 0
197 3 0
198 4 1
199 4 0
200 4 0
201 4 0
202 4 0
203 4 0
204 4 0
205 4 0
206 4 0
207 4 0
208 4 0
209 4 0
210 4 0
211 4 0
212 4 0
213 4 0
214 4 0
215 4 0
216 4 0
217 4 0
218 4 0
219 4 0
220 4 0
221 4 0
222 4 0
223 4 0
224 4 0
225 4 0
226 4 0
227 4 0
228 4 0
229 4 0
230 4 0
231 4 0
232 4 0
233 4 0
234 4 0
235 4 0
236 4 0
237 4 0
238 4 0
239 5 1
240 2 0
241 2 0
242 5 1
243 5 0
244 5 0
245 5 0
246 2 0
247 5 0
248 5 0
249 5 0
250 5 0
251 5 0
252 2 0
253 4 1
254 4 0
255 4 0
256 3 1
257 3 0
258 3 0
259 4 0
260 3 0
261 5 1
262 5 0
263 5 0
264 5 0
265 1 1
266 1 0
267 1 0
268 3 0
269 3 0
270 3 0
271 3 0
272 3 0
273 1 0
274 3 0
275 3 0
276 4 1
277 4 0
278 1 0
279 5 0
280 1 0
281 4 0
282 5 0
283 5 0
284 1 0
285 4 0
286 5 0
287 4 0
288 1 0
289 4 0
290 1 0
291 4 0
292 5 0
293 2 1
294 2 0
295 1 1
296 4 0
297 5 1
298 5 1
299 3 0
300 3 1
301 3 0
302 3 0
303 3 0
304 1 0
305 3 0
306 3 0
307 3 0
308 3 1
309 3 0
310 1 0
311 3 0
312 5 1
313 1 0
314 1 0
315 5 0
316 1 0
317 5 0
318 1 0
319 1 0
320 2 1
321 2 0
322 2 0
323 4 0
324 1 0
325 4 0
326 1 0
327 2 0
328 2 1
329 2 0
330 5 0
331 2 0
332 3 1
333 5 1
334 2 0
335 5 0
336 5 0
337 2 1
338 2 0
339 2 0
340 4 1
341 2 0
342 4 0
343 2 0
344 2 0
